exp_id,run_id,method,dataset,corrupt,seed,work_dir,eval_dir,eval_json,mAP
exp_dior_baseline_eval,exp_dior_baseline_eval/eval_brightness,baseline,DIOR,brightness,42,work_dirs/exp_dior_baseline_eval,work_dirs/exp_dior_baseline_eval/eval_brightness,work_dirs/exp_dior_baseline_eval/eval_brightness/eval_20260121_042944.json,0.5225049257278442
exp_dior_baseline_eval,exp_dior_baseline_eval/eval_clean,baseline,DIOR,clean,42,work_dirs/exp_dior_baseline_eval,work_dirs/exp_dior_baseline_eval/eval_clean,work_dirs/exp_dior_baseline_eval/eval_clean/eval_20260121_041854.json,0.542605996131897
exp_dior_baseline_eval,exp_dior_baseline_eval/eval_cloudy,baseline,DIOR,cloudy,42,work_dirs/exp_dior_baseline_eval,work_dirs/exp_dior_baseline_eval/eval_cloudy,work_dirs/exp_dior_baseline_eval/eval_cloudy/eval_20260121_042417.json,0.5394248366355896
exp_dior_baseline_eval,exp_dior_baseline_eval/eval_contrast,baseline,DIOR,contrast,42,work_dirs/exp_dior_baseline_eval,work_dirs/exp_dior_baseline_eval/eval_contrast,work_dirs/exp_dior_baseline_eval/eval_contrast/eval_20260121_043406.json,0.5389524102210999
exp_dior_ut,exp_dior_ut/eval_brightness,ut,DIOR,brightness,42,work_dirs/exp_dior_ut,work_dirs/exp_dior_ut/eval_brightness,work_dirs/exp_dior_ut/eval_brightness/eval_20260121_045828.json,0.5268659591674805
exp_dior_ut,exp_dior_ut/eval_clean,ut,DIOR,clean,42,work_dirs/exp_dior_ut,work_dirs/exp_dior_ut/eval_clean,work_dirs/exp_dior_ut/eval_clean/eval_20260121_044916.json,0.5378512144088745
exp_dior_ut,exp_dior_ut/eval_cloudy,ut,DIOR,cloudy,42,work_dirs/exp_dior_ut,work_dirs/exp_dior_ut/eval_cloudy,work_dirs/exp_dior_ut/eval_cloudy/eval_20260121_045352.json,0.5359153151512146
exp_dior_ut,exp_dior_ut/eval_contrast,ut,DIOR,contrast,42,work_dirs/exp_dior_ut,work_dirs/exp_dior_ut/eval_contrast,work_dirs/exp_dior_ut/eval_contrast/eval_20260121_050305.json,0.5324713587760925
exp_dior_ut_cga_clip,exp_dior_ut_cga_clip/eval_brightness,ut+cga,DIOR,brightness,42,work_dirs/exp_dior_ut_cga_clip,work_dirs/exp_dior_ut_cga_clip/eval_brightness,work_dirs/exp_dior_ut_cga_clip/eval_brightness/eval_20260121_053106.json,0.5228976011276245
exp_dior_ut_cga_clip,exp_dior_ut_cga_clip/eval_clean,ut+cga,DIOR,clean,42,work_dirs/exp_dior_ut_cga_clip,work_dirs/exp_dior_ut_cga_clip/eval_clean,work_dirs/exp_dior_ut_cga_clip/eval_clean/eval_20260121_052204.json,0.535140872001648
exp_dior_ut_cga_clip,exp_dior_ut_cga_clip/eval_cloudy,ut+cga,DIOR,cloudy,42,work_dirs/exp_dior_ut_cga_clip,work_dirs/exp_dior_ut_cga_clip/eval_cloudy,work_dirs/exp_dior_ut_cga_clip/eval_cloudy/eval_20260121_052639.json,0.5356816649436951
exp_dior_ut_cga_clip,exp_dior_ut_cga_clip/eval_contrast,ut+cga,DIOR,contrast,42,work_dirs/exp_dior_ut_cga_clip,work_dirs/exp_dior_ut_cga_clip/eval_contrast,work_dirs/exp_dior_ut_cga_clip/eval_contrast/eval_20260121_053539.json,0.532591700553894
exp_rsar_baseline,exp_rsar_baseline,baseline,RSAR,clean,42,work_dirs/exp_rsar_baseline,work_dirs/exp_rsar_baseline,work_dirs/exp_rsar_baseline/eval_20260121_041717.json,0.27140170335769653
exp_rsar_baseline_full,exp_rsar_baseline_full,baseline,RSAR,clean,42,work_dirs/exp_rsar_baseline_full,work_dirs/exp_rsar_baseline_full,work_dirs/exp_rsar_baseline_full/eval_20260127_125120.json,0.0
exp_rsar_baseline_full_nanfix,exp_rsar_baseline_full_nanfix,baseline,RSAR,clean,42,work_dirs/exp_rsar_baseline_full_nanfix,work_dirs/exp_rsar_baseline_full_nanfix,work_dirs/exp_rsar_baseline_full_nanfix/eval_20260127_180332.json,0.6534507870674133
exp_rsar_baseline_interf_jamB_s3,exp_rsar_baseline_interf_jamB_s3,baseline,RSAR,interf_jamb_s3,42,work_dirs/exp_rsar_baseline_interf_jamB_s3,work_dirs/exp_rsar_baseline_interf_jamB_s3,work_dirs/exp_rsar_baseline_interf_jamB_s3/eval_20260125_132251.json,0.19858543574810028
exp_rsar_baseline_mix_interf_jamB_s3,exp_rsar_baseline_mix_interf_jamB_s3,baseline,RSAR,interf_jamb_s3,42,work_dirs/exp_rsar_baseline_mix_interf_jamB_s3,work_dirs/exp_rsar_baseline_mix_interf_jamB_s3,work_dirs/exp_rsar_baseline_mix_interf_jamB_s3/eval_20260125_125952.json,0.32464078068733215
exp_rsar_ut_cga_clip,exp_rsar_ut_cga_clip,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_clip,work_dirs/exp_rsar_ut_cga_clip,work_dirs/exp_rsar_ut_cga_clip/eval_20260121_055007.json,0.0
exp_rsar_ut_cga_clip_tinit,exp_rsar_ut_cga_clip_tinit,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_clip_tinit,work_dirs/exp_rsar_ut_cga_clip_tinit,work_dirs/exp_rsar_ut_cga_clip_tinit/eval_20260121_074641.json,0.2539401948451996
exp_rsar_ut_cga_clip_tinit_interf_jamA_eval,exp_rsar_ut_cga_clip_tinit_interf_jamA_eval,ut+cga,RSAR,interf_jama_eval,42,work_dirs/exp_rsar_ut_cga_clip_tinit_interf_jamA_eval,work_dirs/exp_rsar_ut_cga_clip_tinit_interf_jamA_eval,work_dirs/exp_rsar_ut_cga_clip_tinit_interf_jamA_eval/eval_20260125_010035.json,0.05092110112309456
exp_rsar_ut_cga_sarclip_full_fix_vram14,exp_rsar_ut_cga_sarclip_full_fix_vram14,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_full_fix_vram14,work_dirs/exp_rsar_ut_cga_sarclip_full_fix_vram14,work_dirs/exp_rsar_ut_cga_sarclip_full_fix_vram14/eval_20260129_133556.json,0.6621880531311035
exp_rsar_ut_cga_sarclip_full_fix_vram14_smoke,exp_rsar_ut_cga_sarclip_full_fix_vram14_smoke,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_full_fix_vram14_smoke,work_dirs/exp_rsar_ut_cga_sarclip_full_fix_vram14_smoke,work_dirs/exp_rsar_ut_cga_sarclip_full_fix_vram14_smoke/eval_20260128_235635.json,0.6292290091514587
exp_rsar_ut_cga_sarclip_full_nanfix_vram14,exp_rsar_ut_cga_sarclip_full_nanfix_vram14,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_full_nanfix_vram14,work_dirs/exp_rsar_ut_cga_sarclip_full_nanfix_vram14,work_dirs/exp_rsar_ut_cga_sarclip_full_nanfix_vram14/eval_20260127_231554.json,0.09178312867879868
exp_rsar_ut_cga_sarclip_mix_eval_clean1000,exp_rsar_ut_cga_sarclip_mix_eval_clean1000,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_clean1000,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_clean1000,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_clean1000/eval_20260125_020236.json,0.2696891129016876
exp_rsar_ut_cga_sarclip_mix_eval_clean50,exp_rsar_ut_cga_sarclip_mix_eval_clean50,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_clean50,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_clean50,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_clean50/eval_20260122_203455.json,0.3011939823627472
exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA1000,exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA1000,ut+cga,RSAR,interf_jama1000,42,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA1000,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA1000,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA1000/eval_20260125_020403.json,0.046717170625925064
exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA50,exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA50,ut+cga,RSAR,interf_jama50,42,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA50,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA50,work_dirs/exp_rsar_ut_cga_sarclip_mix_eval_interf_jamA50/eval_20260122_203606.json,0.3011939823627472
exp_rsar_ut_cga_sarclip_tinit,exp_rsar_ut_cga_sarclip_tinit,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_tinit,work_dirs/exp_rsar_ut_cga_sarclip_tinit,work_dirs/exp_rsar_ut_cga_sarclip_tinit/eval_20260122_194635.json,0.3087916970252991
exp_rsar_ut_cga_sarclip_tinit_t2,exp_rsar_ut_cga_sarclip_tinit_t2,ut+cga,RSAR,clean,42,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2/eval_20260122_194541.json,0.3119479715824127
exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamA_eval,exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamA_eval,ut+cga,RSAR,interf_jama_eval,42,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamA_eval,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamA_eval,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamA_eval/eval_20260125_010328.json,0.050921063870191574
exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamB_s3,exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamB_s3,ut+cga,RSAR,interf_jamb_s3,42,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamB_s3,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamB_s3,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_interf_jamB_s3/eval_20260125_143501.json,0.132992684841156
exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamA,exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamA,ut+cga,RSAR,interf_jama,42,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamA,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamA,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamA/eval_20260125_015941.json,0.02545454539358616
exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamB_s3,exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamB_s3,ut+cga,RSAR,interf_jamb_s3,42,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamB_s3,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamB_s3,work_dirs/exp_rsar_ut_cga_sarclip_tinit_t2_mix_interf_jamB_s3/eval_20260125_145932.json,0.23171035945415497
exp_rsar_ut_nocga,exp_rsar_ut_nocga,ut,RSAR,clean,42,work_dirs/exp_rsar_ut_nocga,work_dirs/exp_rsar_ut_nocga,work_dirs/exp_rsar_ut_nocga/eval_20260121_034013.json,0.0
exp_rsar_ut_nocga_full_fix_vram16,exp_rsar_ut_nocga_full_fix_vram16,ut,RSAR,clean,42,work_dirs/exp_rsar_ut_nocga_full_fix_vram16,work_dirs/exp_rsar_ut_nocga_full_fix_vram16,work_dirs/exp_rsar_ut_nocga_full_fix_vram16/eval_20260129_133308.json,0.6669908165931702
exp_rsar_ut_nocga_full_fix_vram16_smoke,exp_rsar_ut_nocga_full_fix_vram16_smoke,ut,RSAR,clean,42,work_dirs/exp_rsar_ut_nocga_full_fix_vram16_smoke,work_dirs/exp_rsar_ut_nocga_full_fix_vram16_smoke,work_dirs/exp_rsar_ut_nocga_full_fix_vram16_smoke/eval_20260128_230602.json,0.6310390830039978
exp_rsar_ut_nocga_full_nanfix_vram16,exp_rsar_ut_nocga_full_nanfix_vram16,ut,RSAR,clean,42,work_dirs/exp_rsar_ut_nocga_full_nanfix_vram16,work_dirs/exp_rsar_ut_nocga_full_nanfix_vram16,work_dirs/exp_rsar_ut_nocga_full_nanfix_vram16/eval_20260128_003235.json,0.17827208340168
exp_rsar_ut_nocga_interf_jamB_s3,exp_rsar_ut_nocga_interf_jamB_s3,ut,RSAR,interf_jamb_s3,42,work_dirs/exp_rsar_ut_nocga_interf_jamB_s3,work_dirs/exp_rsar_ut_nocga_interf_jamB_s3,work_dirs/exp_rsar_ut_nocga_interf_jamB_s3/eval_20260125_134639.json,0.13168786466121674
exp_rsar_ut_nocga_mix_interf_jamB_s3,exp_rsar_ut_nocga_mix_interf_jamB_s3,ut,RSAR,interf_jamb_s3,42,work_dirs/exp_rsar_ut_nocga_mix_interf_jamB_s3,work_dirs/exp_rsar_ut_nocga_mix_interf_jamB_s3,work_dirs/exp_rsar_ut_nocga_mix_interf_jamB_s3/eval_20260125_141022.json,0.22599749267101288
exp_rsar_ut_nocga_tinit,exp_rsar_ut_nocga_tinit,ut,RSAR,clean,42,work_dirs/exp_rsar_ut_nocga_tinit,work_dirs/exp_rsar_ut_nocga_tinit,work_dirs/exp_rsar_ut_nocga_tinit/eval_20260121_065058.json,0.12848588824272156
